,IoU,loss,val_IoU,val_loss
0,0.7748036980628967,0.053420621100298174,0.8613751530647278,0.04082557439939133
1,0.8433947563171387,0.036340719431105166,0.8378006219863892,0.035833120689336265
2,0.8545547127723694,0.033677274383484085,0.8469350337982178,0.03438595679006187
3,0.8609353303909302,0.03215248398465915,0.8554087281227112,0.03315909619575361
4,0.863896369934082,0.03133377044929228,0.8618558049201965,0.032416083420038766
5,0.8672882914543152,0.030526033135656955,0.8686639070510864,0.03161540684653193
6,0.8694291710853577,0.030171012541065044,0.8599157333374023,0.031456931255015
7,0.8716334700584412,0.029607976654952232,0.8841689229011536,0.031283249843899394
8,0.8733696937561035,0.029305660665487752,0.8762189149856567,0.030936093826488424
9,0.8738596439361572,0.028978384527501462,0.8819023966789246,0.030956662205410868
10,0.8753820657730103,0.028784046502265258,0.8935009837150574,0.030585390339490152
11,0.876116931438446,0.028492828403335176,0.865822434425354,0.030783810821049522
12,0.8774206042289734,0.02829298536539582,0.8554689884185791,0.030324031309621392
13,0.877987265586853,0.0281410421678029,0.867908775806427,0.030459168603435564
14,0.8788852691650391,0.02789070999213514,0.8745536208152771,0.02999198281873029
